iter	RMSE
377	1.111145262
378	1.110861037
379	1.110657065
380	1.110395998
381	1.109895364
382	1.109504133
383	1.109090475
384	1.108714029
385	1.1082935
386	1.107967845
387	1.10752439
388	1.107069029
389	1.106988861
390	1.106593944
391	1.106120628
392	1.105665961
393	1.105482428
394	1.105279186
395	1.104989933
396	1.104760574
397	1.104352422
398	1.10416013
399	1.103861029
400	1.103611171
401	1.103283481
402	1.102996277
403	1.10277432
404	1.1023744
405	1.101965283
406	1.101560176
407	1.101386658
408	1.101131784
409	1.100764431
410	1.100559333
411	1.100487049
412	1.100259436
413	1.09985333
414	1.099605385
415	1.0992456
416	1.098843342
417	1.098499616
418	1.098332126
419	1.098093221
420	1.097704017
421	1.09747207
422	1.097085177
423	1.096861957
424	1.096567168
425	1.09623775
426	1.095965897
427	1.095627991
428	1.095289865
429	1.095144039
430	1.095056937
431	1.094804822
432	1.094526451
433	1.094284469
434	1.09392076
435	1.093678575
436	1.093373639
437	1.09313291
438	1.092874566
439	1.092642152
440	1.092354221
441	1.09194462
442	1.091719874
443	1.09130114
444	1.091004402
445	1.090704253
446	1.090394181
447	1.090121636
448	1.089748522
449	1.089513044
450	1.089323048
451	1.089028491
452	1.088813536
453	1.088667747
454	1.088387168
455	1.088248991
456	1.087800905
457	1.087585765
458	1.087360071
459	1.08700981
460	1.08659242
461	1.086303022
462	1.086231181
463	1.085882544
464	1.08570685
465	1.085551158
466	1.085333001
467	1.085062974
468	1.084855626
469	1.084729873
470	1.084570385
471	1.084388542
472	1.08406514
473	1.083804943
474	1.083515639
475	1.083404796
476	1.083145628
477	1.08288521
478	1.082666431
479	1.082176158
480	1.081794818
481	1.081495904
482	1.081156948
483	1.080839731
484	1.080442749
485	1.080227452
486	1.080059091
487	1.079734758
488	1.079539459
489	1.079281128
490	1.079083453
491	1.078809244
492	1.078550412
493	1.078360447
494	1.078131669
495	1.077837061
496	1.077733791
497	1.077510617
498	1.077176793
499	1.07666555
500	1.076351696
501	1.075994635
502	1.075743466
503	1.075399857
504	1.075151165
505	1.074909962
506	1.074544267
507	1.073990044
508	1.073738646
509	1.07348552
510	1.073281023
511	1.072972243
512	1.072739186
513	1.07246943
514	1.072258604
515	1.071991574
516	1.071705263
517	1.07129264
518	1.070810157
519	1.070600621
520	1.07022371
521	1.070036238
522	1.069804058
523	1.069546916
524	1.06921317
525	1.068922566
526	1.068509245
527	1.068294686
528	1.068134642
529	1.067845508
530	1.067751617
531	1.067405728
532	1.067156916
533	1.066761632
534	1.06654933
535	1.066286379
536	1.066100463
537	1.065965101
538	1.065644897
539	1.065459276
540	1.065166923
541	1.064915533
542	1.064548712
543	1.064122238
544	1.063882727
545	1.063402638
546	1.06322461
547	1.062958451
548	1.062828659
549	1.062483296
550	1.062103885
551	1.061928264
552	1.061718829
553	1.06145994
554	1.061229792
555	1.061000468
556	1.060816896
557	1.060524118
558	1.060373407
559	1.060130336
560	1.059829533
561	1.059574066
562	1.059475715
563	1.059258295
564	1.05910892
565	1.058877383
566	1.058589924
567	1.058118838
568	1.057791789
569	1.057549588
570	1.05735708
571	1.057115697
572	1.056834008
573	1.056628811
574	1.056302231
575	1.056052399
576	1.055658624
577	1.05551038
578	1.05511657
579	1.054812739
580	1.054652837
581	1.054461001
582	1.054184409
583	1.053931971
584	1.053642317
585	1.05346493
586	1.053210705
587	1.052950518
588	1.052612319
589	1.052177688
590	1.051874616
591	1.051728222
592	1.051518777
593	1.051257512
594	1.051118014
595	1.050844062
596	1.050682012
597	1.050478799
598	1.050225914
599	1.050062186
600	1.049774294
601	1.049491098
602	1.049279851
603	1.049150501
604	1.048816862
605	1.048677532
606	1.0485288
607	1.048376822
608	1.048151674
609	1.047808505
610	1.047455151
611	1.047108889
612	1.04684441
613	1.046548385
614	1.046409381
615	1.046220179
616	1.04599464
617	1.045775247
618	1.045538068
619	1.045241005
620	1.045051554
621	1.044987914
622	1.044604155
623	1.044381426
624	1.044121169
625	1.04379862
626	1.04343311
627	1.043250797
628	1.04301134
629	1.042782031
630	1.042592692
631	1.042398614
632	1.042168929
633	1.041900945
634	1.041747304
635	1.041447098
636	1.0413313
637	1.040998669
638	1.0407313
639	1.040424457
640	1.040154767
641	1.039762587
642	1.039511444
643	1.039362882
644	1.039213572
645	1.038921064
646	1.038590392
647	1.038287109
648	1.038184338
649	1.038005802
650	1.037596631
651	1.037409472
652	1.037091656
653	1.036848886
654	1.036648917
655	1.03634813
656	1.036054438
657	1.035821433
658	1.035542147
659	1.035262316
660	1.034980169
661	1.034686724
662	1.034457347
663	1.034163758
664	1.033920146
665	1.03361509
666	1.03346033
667	1.033289949
668	1.032991324
669	1.032883901
670	1.032593878
671	1.032450949
672	1.032297745
673	1.032192959
674	1.031979463
675	1.03173254
676	1.03165983
677	1.031523771
678	1.031419912
679	1.031150788
680	1.030959121
681	1.03083559
682	1.030674558
683	1.030430681
684	1.029934706
685	1.029722389
686	1.029531979
687	1.029214633
688	1.028950134
689	1.02882808
690	1.028623827
691	1.028467921
692	1.028097362
693	1.027899123
694	1.027704144
695	1.027543519
696	1.027357643
697	1.027212385
698	1.027040014
699	1.026786011
700	1.026508634
701	1.026340719
702	1.026162962
703	1.026077704
704	1.025763487
705	1.025629299
706	1.025487763
707	1.025266351
708	1.025139916
709	1.024966429
710	1.024707783
711	1.024453634
712	1.024254385
713	1.024169363
714	1.024011434
715	1.023785951
716	1.023616125
717	1.023323959
718	1.023148346
719	1.023059485
720	1.022800766
721	1.022522404
722	1.022404873
723	1.02222555
724	1.022003307
725	1.021835696
726	1.021700506
727	1.021309717
728	1.021187417
729	1.020874812
730	1.020808442
731	1.020581389
732	1.020313778
733	1.020079703
734	1.019942529
735	1.019822451
736	1.019668524
737	1.019456359
738	1.019298184
739	1.019116359
740	1.018815108
741	1.018537531
742	1.018359522
743	1.018099681
744	1.01790286
745	1.017713996
746	1.017475465
747	1.017290717
748	1.017134995
749	1.016864969
750	1.016660151
751	1.016456188
752	1.016145439
753	1.016029933
754	1.015791528
755	1.015569785
756	1.015352997
757	1.0152773
758	1.015144751
759	1.014863253
760	1.014632216
761	1.014423798
762	1.014212145
763	1.014007178
764	1.013793143
765	1.013583691
766	1.013308585
767	1.013174679
768	1.012907747
769	1.012728364
770	1.012537383
771	1.012283819
772	1.011916466
773	1.011699708
774	1.011476379
775	1.011311512
776	1.011051055
777	1.010867841
778	1.010586219
779	1.010362262
780	1.010249155
781	1.010003437
782	1.009724528
783	1.009467812
784	1.009303402
785	1.009090744
786	1.008927096
787	1.008815026
788	1.008560451
789	1.008304728
790	1.008059405
791	1.007924784
792	1.007806898
793	1.007608457
794	1.00733993
795	1.006984392
796	1.006846233
797	1.006666017
798	1.006418253
799	1.006343811
800	1.006051658
801	1.005692801
802	1.005520849
803	1.005258239
804	1.005003083
805	1.004765057
806	1.004576877
807	1.004344317
808	1.004143693
809	1.003892567
810	1.003722678
811	1.003538322
812	1.003212545
813	1.003009553
814	1.002850269
815	1.002688435
816	1.002510435
817	1.002266238
818	1.002024197
819	1.001852367
820	1.001596277
821	1.001408901
822	1.001200641
823	1.001025738
824	1.000869304
825	1.00070972
826	1.000521713
827	1.00029655
828	1.000133401
829	0.9999646939
830	0.9997305121
831	0.9995488751
832	0.9993836014
833	0.9992402403
834	0.9990332328
835	0.9988494587
836	0.9987439601
837	0.9984737967
838	0.9982795033
839	0.9980951139
840	0.9979760534
841	0.9977618646
842	0.9975075521
843	0.997310677
844	0.9971848824
845	0.9970001827
846	0.9969025875
847	0.996668034
848	0.9964757939
849	0.9963552438
850	0.9961396422
851	0.9959784221
852	0.9958221547
853	0.9957028994
854	0.9954904102
855	0.9953178334
856	0.9951999357
857	0.9949787136
858	0.9948903549
859	0.9947382347
860	0.9945620643
861	0.9944357857
862	0.9940790147
863	0.9938624251
864	0.9936535501
865	0.9935115051
866	0.9933101697
867	0.9930768553
868	0.9929215899
869	0.9926255912
870	0.9924412421
871	0.9923415348
872	0.9921185035
873	0.991936813
874	0.9917550086
875	0.9915691161
876	0.991427888
877	0.9911338362
878	0.9909821366
879	0.9908649754
880	0.9907115655
881	0.9904417505
882	0.9902597613
883	0.9900966897
884	0.9899387133
885	0.9897257914
886	0.9896240984
887	0.9894307022
888	0.9892648017
889	0.9890646713
890	0.98893089
891	0.9887872353
892	0.9886717143
893	0.9885537183
894	0.9883231083
895	0.9881162665
896	0.9879484817
897	0.987767443
898	0.9876164468
899	0.9874063021
900	0.987235917
901	0.9870703162
902	0.9869070991
903	0.9866976184
904	0.9865788578
905	0.9864615172
906	0.9862896205
907	0.9862183113
908	0.9861500132
909	0.9860305366
910	0.9858481654
911	0.9856383002
912	0.9854561677
913	0.9851824386
914	0.9849875832
915	0.984840036
916	0.9846058941
917	0.9843721837
918	0.9840955206
919	0.9839507131
920	0.9838073108
921	0.9835600597
922	0.9834020717
923	0.9832420688
924	0.9831116159
925	0.9830080395
926	0.9827812557
927	0.9825435137
928	0.9823931359
929	0.9823039543
930	0.9820755447
931	0.98181109
932	0.9817048332
933	0.9814621261
934	0.9812044118
935	0.9810746953
936	0.9808529406
937	0.980624695
938	0.9804387981
939	0.9802399836
940	0.9801413023
941	0.9799531573
942	0.9798168868
943	0.9796385452
944	0.9794297613
945	0.9792794803
946	0.9791422702
947	0.9789373367
948	0.978905113
949	0.9787834356
950	0.9786277457
951	0.9785020301
952	0.978319806
953	0.9781368675
954	0.9779398884
955	0.9778634998
956	0.9777762473
957	0.9776851559
958	0.9774759145
959	0.9773585244
960	0.9772516435
961	0.9770674073
962	0.9768804564
963	0.9767865596
964	0.9766316685
965	0.976390231
966	0.9762155805
967	0.9761758082
968	0.975951391
969	0.9757647673
970	0.9755857901
971	0.9753731406
972	0.9750787349
973	0.9748581276
974	0.9746458186
975	0.9744344466
976	0.9742139356
977	0.9740230979
978	0.973716559
979	0.9735845944
980	0.9733473055
981	0.9732700272
982	0.9731165682
983	0.9729512
984	0.972772127
985	0.9725905685
986	0.9724465267
987	0.972323285
988	0.9721924338
989	0.9720126076
990	0.971796802
991	0.9716774576
992	0.9715397448
993	0.9713414571
994	0.9711732893
995	0.9709827102
996	0.9708967693
997	0.9707498841
998	0.9706195427
999	0.9704099733
