iter	Passed	Remaining
408	4179	6038
409	4187	6025
410	4193	6009
411	4200	5995
412	4207	5979
413	4215	5967
414	4224	5955
415	4231	5940
416	4237	5924
417	4243	5908
418	4248	5891
419	4254	5874
420	4259	5857
421	4264	5841
422	4270	5825
423	4276	5809
424	4282	5794
425	4289	5779
426	4295	5764
427	4302	5749
428	4308	5735
429	4318	5724
430	4324	5709
431	4332	5695
432	4339	5682
433	4345	5667
434	4352	5653
435	4359	5639
436	4365	5624
437	4372	5609
438	4378	5595
439	4384	5580
440	4391	5567
441	4398	5552
442	4405	5539
443	4411	5524
444	4419	5511
445	4425	5496
446	4431	5482
447	4437	5468
448	4443	5453
449	4451	5440
450	4456	5425
451	4463	5411
452	4469	5397
453	4475	5382
454	4482	5368
455	4488	5354
456	4495	5341
457	4501	5327
458	4508	5313
459	4514	5299
460	4520	5285
461	4527	5272
462	4534	5258
463	4540	5244
464	4546	5230
465	4552	5216
466	4558	5202
467	4564	5188
468	4570	5175
469	4576	5161
470	4583	5147
471	4589	5133
472	4595	5119
473	4601	5106
474	4607	5092
475	4613	5078
476	4619	5064
477	4625	5051
478	4631	5037
479	4637	5024
480	4645	5012
481	4651	4998
482	4656	4984
483	4663	4971
484	4669	4958
485	4675	4945
486	4681	4931
487	4687	4918
488	4696	4907
489	4702	4894
490	4710	4882
491	4717	4870
492	4724	4858
493	4731	4846
494	4738	4834
495	4745	4822
496	4752	4810
497	4759	4797
498	4766	4785
499	4773	4773
500	4779	4760
501	4788	4749
502	4794	4737
503	4802	4725
504	4809	4713
505	4816	4702
506	4822	4689
507	4831	4679
508	4838	4667
509	4845	4655
510	4852	4644
511	4860	4632
512	4867	4620
513	4874	4609
514	4881	4597
515	4890	4586
516	4896	4574
517	4902	4562
518	4909	4550
519	4916	4538
520	4923	4526
521	4930	4514
522	4937	4503
523	4944	4491
524	4950	4479
525	4956	4466
526	4963	4454
527	4969	4442
528	4975	4430
529	4983	4418
530	4989	4407
531	4996	4395
532	5002	4383
533	5009	4371
534	5016	4360
535	5023	4348
536	5029	4336
537	5036	4324
538	5042	4312
539	5048	4300
540	5054	4288
541	5060	4276
542	5065	4263
543	5071	4250
544	5075	4237
545	5080	4224
546	5084	4210
547	5088	4197
548	5093	4183
549	5096	4170
550	5101	4156
551	5105	4143
552	5108	4129
553	5112	4115
554	5116	4102
555	5120	4088
556	5124	4075
557	5127	4061
558	5131	4048
559	5135	4035
560	5140	4022
561	5145	4009
562	5149	3997
563	5153	3984
564	5158	3971
565	5162	3958
566	5166	3945
567	5170	3932
568	5175	3920
569	5179	3907
570	5183	3894
571	5187	3881
572	5192	3869
573	5200	3859
574	5204	3846
575	5210	3835
576	5214	3822
577	5219	3810
578	5223	3798
579	5228	3785
580	5233	3774
581	5237	3761
582	5242	3749
583	5246	3737
584	5251	3725
585	5255	3712
586	5259	3700
587	5264	3688
588	5268	3676
589	5272	3663
590	5276	3651
591	5280	3639
592	5284	3626
593	5288	3614
594	5292	3602
595	5297	3591
596	5302	3579
597	5306	3567
598	5310	3554
599	5314	3542
600	5318	3531
601	5323	3519
602	5327	3507
603	5331	3495
604	5335	3483
605	5340	3472
606	5345	3460
607	5349	3449
608	5354	3437
609	5358	3425
610	5362	3414
611	5367	3402
612	5371	3391
613	5375	3379
614	5379	3367
615	5384	3356
616	5388	3344
617	5392	3333
618	5397	3322
619	5401	3310
620	5405	3299
621	5409	3287
622	5414	3276
623	5419	3265
624	5423	3254
625	5428	3243
626	5433	3232
627	5436	3220
628	5440	3209
629	5444	3197
630	5448	3186
631	5453	3175
632	5457	3164
633	5462	3153
634	5466	3142
635	5470	3130
636	5475	3120
637	5480	3109
638	5484	3098
639	5488	3087
640	5494	3077
641	5498	3066
642	5502	3055
643	5507	3044
644	5511	3033
645	5515	3022
646	5520	3011
647	5525	3001
648	5529	2990
649	5534	2979
650	5538	2969
651	5541	2957
652	5545	2946
653	5549	2936
654	5554	2925
655	5558	2914
656	5562	2903
657	5566	2893
658	5571	2882
659	5575	2872
660	5580	2862
661	5584	2851
662	5588	2840
663	5592	2829
664	5596	2819
665	5599	2808
666	5604	2797
667	5608	2787
668	5612	2776
669	5616	2766
670	5620	2755
671	5626	2746
672	5630	2735
673	5635	2725
674	5639	2715
675	5643	2704
676	5647	2694
677	5651	2684
678	5656	2674
679	5660	2663
680	5664	2653
681	5669	2643
682	5673	2633
683	5677	2623
684	5681	2612
685	5685	2602
686	5690	2592
687	5694	2582
688	5698	2572
689	5702	2562
690	5706	2552
691	5711	2541
692	5715	2531
693	5719	2521
694	5723	2511
695	5727	2501
696	5732	2492
697	5737	2482
698	5741	2472
699	5745	2462
700	5749	2452
701	5754	2442
702	5757	2432
703	5762	2422
704	5766	2412
705	5770	2403
706	5775	2393
707	5779	2383
708	5784	2374
709	5788	2364
710	5792	2354
711	5796	2344
712	5800	2334
713	5804	2325
714	5808	2315
715	5812	2305
716	5816	2295
717	5820	2286
718	5825	2276
719	5829	2266
720	5833	2257
721	5837	2247
722	5842	2238
723	5846	2228
724	5851	2219
725	5855	2210
726	5859	2200
727	5862	2190
728	5866	2180
729	5870	2171
730	5873	2161
731	5877	2151
732	5881	2142
733	5885	2132
734	5889	2123
735	5892	2113
736	5897	2104
737	5901	2095
738	5905	2085
739	5909	2076
740	5913	2066
741	5917	2057
742	5921	2048
743	5924	2038
744	5928	2029
745	5932	2019
746	5935	2010
747	5939	2000
748	5942	1991
749	5946	1982
750	5950	1972
751	5954	1963
752	5958	1954
753	5962	1945
754	5967	1936
755	5971	1927
756	5975	1918
757	5979	1909
758	5983	1899
759	5987	1890
760	5990	1881
761	5994	1872
762	5998	1863
763	6002	1854
764	6006	1845
765	6009	1835
766	6013	1826
767	6018	1817
768	6022	1809
769	6025	1799
770	6029	1790
771	6034	1782
772	6038	1773
773	6042	1764
774	6045	1755
775	6049	1746
776	6053	1737
777	6057	1728
778	6061	1719
779	6065	1710
780	6069	1701
781	6073	1693
782	6077	1684
783	6081	1675
784	6084	1666
785	6088	1657
786	6092	1648
787	6096	1640
788	6100	1631
789	6103	1622
790	6108	1613
791	6112	1605
792	6116	1596
793	6120	1587
794	6124	1579
795	6128	1570
796	6132	1562
797	6136	1553
798	6140	1544
799	6144	1536
800	6148	1527
801	6152	1518
802	6156	1510
803	6160	1501
804	6164	1493
805	6167	1484
806	6171	1475
807	6175	1467
808	6178	1458
809	6182	1450
810	6186	1441
811	6189	1433
812	6193	1424
813	6197	1416
814	6201	1407
815	6205	1399
816	6208	1390
817	6212	1382
818	6216	1373
819	6220	1365
820	6224	1357
821	6227	1348
822	6232	1340
823	6236	1332
824	6240	1323
825	6245	1315
826	6248	1307
827	6255	1299
828	6262	1291
829	6266	1283
830	6271	1275
831	6275	1267
832	6279	1258
833	6283	1250
834	6287	1242
835	6293	1234
836	6297	1226
837	6301	1218
838	6304	1209
839	6308	1201
840	6312	1193
841	6316	1185
842	6320	1177
843	6324	1168
844	6327	1160
845	6331	1152
846	6335	1144
847	6341	1136
848	6345	1128
849	6349	1120
850	6352	1112
851	6356	1104
852	6360	1096
853	6364	1088
854	6368	1080
855	6372	1071
856	6376	1063
857	6380	1055
858	6384	1047
859	6388	1039
860	6391	1031
861	6396	1024
862	6400	1016
863	6404	1008
864	6408	1000
865	6412	992
866	6416	984
867	6420	976
868	6423	968
869	6428	960
870	6432	952
871	6435	944
872	6439	936
873	6444	929
874	6448	921
875	6452	913
876	6455	905
877	6459	897
878	6464	889
879	6467	881
880	6471	874
881	6475	866
882	6478	858
883	6482	850
884	6486	842
885	6489	835
886	6493	827
887	6497	819
888	6501	811
889	6505	804
890	6509	796
891	6513	788
892	6518	781
893	6522	773
894	6525	765
895	6529	757
896	6533	750
897	6537	742
898	6542	734
899	6546	727
900	6550	719
901	6554	712
902	6557	704
903	6561	696
904	6565	689
905	6568	681
906	6572	673
907	6576	666
908	6580	658
909	6583	651
910	6587	643
911	6592	636
912	6596	628
913	6600	621
914	6604	613
915	6607	605
916	6611	598
917	6614	590
918	6618	583
919	6622	575
920	6626	568
921	6630	560
922	6633	553
923	6638	546
924	6642	538
925	6645	531
926	6649	523
927	6693	519
928	6697	511
929	6702	504
930	6706	497
931	6710	489
932	6714	482
933	6719	474
934	6722	467
935	6727	459
936	6731	452
937	6735	445
938	6739	437
939	6744	430
940	6748	423
941	6752	415
942	6756	408
943	6761	401
944	6766	393
945	6770	386
946	6775	379
947	6779	371
948	6783	364
949	6788	357
950	6792	349
951	6796	342
952	6800	335
953	6805	328
954	6809	320
955	6813	313
956	6817	306
957	6823	299
958	6827	291
959	6832	284
960	6837	277
961	6841	270
962	6846	263
963	6850	255
964	6854	248
965	6858	241
966	6862	234
967	6866	227
968	6871	219
969	6875	212
970	6879	205
971	6883	198
972	6887	191
973	6892	183
974	6896	176
975	6900	169
976	6904	162
977	6908	155
978	6913	148
979	6918	141
980	6922	134
981	6927	126
982	6931	119
983	6935	112
984	6940	105
985	6945	98
986	6949	91
987	6953	84
988	6958	77
989	6962	70
990	6967	63
991	6971	56
992	6976	49
993	6981	42
994	6985	35
995	6989	28
996	6992	21
997	6997	14
998	7001	7
999	7005	0
